rank,title,rating,show_type,votes,episodes
157b,Bamboo Blade,8.21,TV,2531,26
158b,(The) Place Promised in Our Early Days,8.18,movie,2542,
159b,Appleseed,7.15,movie,2892,
160b,Porco Rosso,8.17,movie,2514,
161b,Ga-Rei-Zero,8.07,TV,2535,12
162b,Love Hina Again,7.30,OAV,2777,3
163b,Speed Grapher,7.76,TV,2605,24
164b,Kaze no Stigma,7.60,TV,2657,24
165b,Looking Up At The Half-Moon,8.53,TV,2369,6
166b,A Certain Magical Index,7.24,TV,2783,24
167b,Romeo × Juliet,8.44,TV,2375,24
168b,Basilisk,7.62,TV,2615,24
169b,Blue Exorcist,7.76,TV,2563,25
170b,(The) Future Diary,7.40,TV,2670,26
