rank,title,rating,show_type,votes,episodes
606a,School Rumble Ni Gakki,7.99,TV,157719,26
607a,Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,7.99,Movie,232522,1
608a,Tokyo Revengers,7.99,TV,1162176,24
609a,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,7.99,Movie,14283,1
610a,Azumanga Daiou The Animation,7.99,TV,330017,26
611a,Hololive Alternative,7.99,ONA,10483,2
612a,Kakushigoto,7.99,TV,316895,12
613a,Boku no Hero Academia the Movie 2: Heroes:Rising,7.98,Movie,541054,1
614a,Code Geass: Hangyaku no Lelouch III - Oudou,7.98,Movie,89256,1
615a,Durarara!!x2 Shou,7.98,TV,470056,12
616a,Eve no Jikan (Movie),7.98,Movie,122467,1
617a,Kimi ni Todoke 2nd Season,7.98,TV,453807,12
618a,Koukaku Kidoutai 2.0,7.98,Movie,86916,1
619a,Maou-jou de Oyasumi,7.98,TV,199081,12
620a,Tate no Yuusha no Nariagari,7.98,TV,1504851,25
621a,xxxHOLiC,7.98,TV,310235,24
622a,Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness,7.97,Special,80622,1
623a,Akagami no Shirayuki-hime 2nd Season,7.97,TV,345977,12
624a,Durarara!!x2 Ten,7.97,TV,384369,12
625a,Haibane Renmei,7.97,TV,273234,13
626a,High Score Girl II,7.97,TV,130610,9
627a,High Score Girl: Extra Stage,7.97,OVA,71428,3
628a,Hyouge Mono,7.97,TV,27285,39
629a,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,7.97,OVA,57184,6
630a,Nagi no Asu kara,7.97,TV,586584,26
631a,Ookiku Furikabutte: Natsu no Taikai-hen,7.97,TV,43615,13
632a,ReLIFE,7.97,TV,993344,13
633a,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,7.97,OVA,82150,2
634a,Saint Seiya: The Lost Canvas - Meiou Shinwa,7.97,OVA,104939,13
635a,Kidou Keisatsu Patlabor 2 the Movie,7.96,Movie,35387,1
636a,Kobayashi-san Chi no Maid Dragon,7.96,TV,1187386,13
637a,Love Live! Superstar!!,7.96,TV,64856,12
638a,Mahou Shoujo Lyrical Nanoha A's,7.96,TV,63759,13
639a,Major Movie: Yuujou no Winning Shot,7.96,Movie,20094,1
640a,Sakasama no Patema,7.96,Movie,280842,1
641a,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,7.96,TV,693915,12
642a,Tennis no Ouji-sama: Zenkoku Taikai-hen - Final,7.96,OVA,35294,7
643a,Working!!!,7.96,TV,241340,13
644a,Youjo Senki,7.96,TV,872212,12
645a,Aria the Origination: Sono Choppiri Himitsu no Basho ni...,7.96,Special,21151,1
646a,Bungou Stray Dogs Wan!,7.96,TV,107180,12
647a,Dragon Ball,7.96,TV,992964,153
648a,Hokuto no Ken,7.96,TV,126787,109
649a,Aria the Benedizione,7.95,Movie,6617,1
650a,Girls & Panzer: Saishuushou Part 1,7.95,Movie,45597,1
651a,IDOLiSH7 Vibrato,7.95,ONA,14779,8
652a,Kanon (2006),7.95,TV,265487,24
653a,Kobato.,7.95,TV,163078,24
654a,Kurenai no Buta,7.95,Movie,235278,1
655a,Noragami,7.95,TV,2085725,12
656a,Rurouni Kenshin: Meiji Kenkaku Romantan (2023),7.95,TV,59657,24
657a,Tekkon Kinkreet,7.95,Movie,107988,1
658a,Takarajima,7.94,TV,19424,26
659a,Wotaku ni Koi wa Muzukashii,7.94,TV,931938,11
660a,Wotaku ni Koi wa Muzukashii OVA,7.94,OVA,194920,3
661a,Bishoujo Senshi Sailor Moon: Sailor Stars,7.94,TV,109283,34
662a,Fate/Grand Order: Zettai Majuu Sensen Babylonia,7.94,TV,266687,21
663a,Full Moon wo Sagashite,7.94,TV,106722,52
664a,Hikaru no Go: Hokuto Hai e no Michi,7.94,Special,23454,1
665a,Kidou Senshi Gundam Thunderbolt,7.94,ONA,53352,4
666a,Kindaichi Shounen no Jikenbo,7.94,TV,29475,148
667a,Macross F Movie 2: Sayonara no Tsubasa,7.94,Movie,26867,1
668a,Macross: Do You Remember Love?,7.94,Movie,46073,1
669a,Mawaru Penguindrum,7.94,TV,293133,24
670a,Non Non Biyori,7.94,TV,413237,12
671a,Nurarihyon no Mago: Sennen Makyou,7.94,TV,159269,24
672a,One Piece Film: Strong World Episode 0,7.94,OVA,81818,1
673a,Osomatsu-san,7.94,TV,168419,25
674a,Phantom: Requiem for the Phantom,7.94,TV,326707,26
675a,Kidou Senshi Gundam Thunderbolt: December Sky,7.93,Movie,22324,1
676a,Kimi to Boku. 2,7.93,TV,86494,13
677a,Kingdom,7.93,TV,205126,38
678a,Kokoro Connect: Michi Random,7.93,Special,254336,4
679a,Nekomonogatari: Kuro,7.93,TV,537907,4
680a,Promare,7.93,Movie,266821,1
681a,Usagi Drop Specials,7.93,Special,69290,4
682a,xxxHOLiC Movie: Manatsu no Yoru no Yume,7.93,Movie,64560,1
683a,Yowamushi Pedal,7.93,TV,226536,38
684a,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",7.93,Special,299584,1
685a,Doupo Cangqiong 4th Season,7.93,ONA,6268,24
686a,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,7.93,Movie,92525,1
687a,Full Metal Panic! The Second Raid,7.93,TV,255692,13
688a,Gensou Mangekyou: The Memories of Phantasm,7.93,OVA,2957,18
689a,Hanamonogatari,7.93,TV,415634,5
690a,Hidamari Sketch x Honeycomb,7.93,TV,22998,12
691a,Bleach,7.92,TV,1865627,366
692a,Bungou Stray Dogs: Dead Apple,7.92,Movie,258698,1
693a,Darker than Black: Kuro no Keiyakusha Gaiden,7.92,Special,252247,4
694a,Doupo Cangqiong: Nian Fan,7.92,ONA,5098,104
695a,Eyeshield 21,7.92,TV,178109,145
696a,Gake no Ue no Ponyo,7.92,Movie,545901,1
697a,Gochuumon wa Usagi desu ka? Bloom,7.92,TV,60195,12
698a,"Komi-san wa, Comyushou desu.",7.92,TV,817827,12
699a,Kono Oto Tomare!,7.92,TV,285333,13
700a,Kuuchuu Buranko,7.92,TV,90786,11
701a,Log Horizon,7.92,TV,1084628,25
702a,Love Live! The School Idol Movie,7.92,Movie,127505,1
703a,Overlord III,7.92,TV,858308,13
704a,Tamako Love Story,7.92,Movie,371171,1
705a,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,7.92,TV,99967,26
706a,Trigun: Badlands Rumble,7.92,Movie,138019,1
707a,Vampire Hunter D (2000),7.91,Movie,179797,1
708a,Yakitate!! Japan,7.91,TV,95614,69
709a,Yuru Yuri San☆Hai!,7.91,TV,121398,12
710a,Zetsuen no Tempest,7.91,TV,583049,24
711a,City Hunter,7.91,TV,76788,51
712a,Code Geass: Fukkatsu no Lelouch,7.91,Movie,302091,1
713a,Detective Conan OVA 09: The Stranger in 10 Years...,7.91,OVA,20594,1
714a,Final Fantasy VII: Advent Children Complete,7.91,OVA,129664,1
715a,Hanasaku Iroha,7.91,TV,324073,26
716a,Kaleido Star,7.91,TV,83278,51
717a,Kidou Senshi Gundam: Suisei no Majo,7.91,TV,127726,12
718a,Overlord,7.91,TV,1517301,13
719a,Plastic Memories,7.91,TV,907872,13
720a,Quanzhi Gaoshou 2,7.91,ONA,113451,12
721a,SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,7.91,OVA,21299,1
722a,Kidou Senshi Zeta Gundam,7.90,TV,71061,50
723a,Lupin III (2015),7.90,TV,68677,24
724a,Macross,7.90,TV,105405,36
725a,Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,7.90,Special,137591,1
726a,One Piece Film: Gold,7.90,Movie,201659,1
727a,Ore Monogatari!!,7.90,TV,648765,24
728a,Sakigake!! Cromartie Koukou,7.90,TV,134836,26
729a,Shirokuma Cafe,7.90,TV,91842,50
730a,Ushio to Tora (TV) 2nd Season,7.90,TV,128934,13
731a,Vanitas no Karte,7.90,TV,488175,12
732a,Wu Liuqi: Anying Suming,7.90,ONA,11561,10
733a,Yagate Kimi ni Naru,7.90,TV,322673,13
734a,Yuri!!! on Ice,7.90,TV,853063,12
735a,Zoku Sayonara Zetsubou Sensei,7.90,TV,129443,13
736a,Boku no Hero Academia 4th Season,7.90,TV,1640429,25
737a,Date A Live II: Kurumi Star Festival,7.90,OVA,178739,1
738a,Drifters,7.90,TV,545750,12
739a,Ergo Proxy,7.90,TV,622541,23
740a,Gakuen Babysitters,7.90,TV,320760,12
741a,Ginga Sengoku Gunyuuden Rai,7.90,TV,15078,52
742a,Hidamari Sketch x ☆☆☆,7.90,TV,27048,12
743a,Initial D Third Stage,7.90,Movie,168929,1
744a,Jormungand: Perfect Order,7.90,TV,185812,12
745a,Aria the Avvenire,7.89,Special,26690,3
746a,Bishoujo Senshi Sailor Moon S,7.89,TV,141930,38
747a,Boku no Hero Academia,7.89,TV,2893580,13
748a,Death Billiards,7.89,Movie,233284,1
749a,Densetsu Kyojin Ideon: Hatsudou-hen,7.89,Movie,9528,1
750a,ef: A Tale of Memories.,7.89,TV,250932,12
751a,Free! Eternal Summer: Kindan no All Hard!,7.89,Special,91877,1
752a,Higurashi no Naku Koro ni,7.89,TV,782551,26
753a,Ie Naki Ko Remy,7.89,TV,19959,23
754a,JoJo no Kimyou na Bouken (TV),7.89,TV,1579512,26
755a,Karigurashi no Arrietty,7.89,Movie,331027,1
756a,Kotonoha no Niwa,7.89,Movie,829575,1
757a,Macross F,7.89,TV,143820,25
758a,"Natsu e no Tunnel, Sayonara no Deguchi",7.89,Movie,79384,1
759a,Saiunkoku Monogatari,7.89,TV,93335,39
760a,School Rumble,7.89,TV,320867,26
761a,Tennis no Ouji-sama: Zenkoku Taikai-hen,7.89,OVA,45271,13
762a,Tonikaku Kawaii,7.89,TV,695728,12
763a,Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,7.88,OVA,36378,6
764a,Terra e... (TV),7.88,TV,60571,24
765a,Umibe no Étranger,7.88,Movie,160255,1
766a,5-toubun no Hanayome Movie,7.88,Movie,207745,1
767a,BanG Dream! Movie: Poppin' Dream!,7.88,Movie,7719,1
768a,Cike Wu Liuqi,7.88,ONA,91602,10
769a,Code Geass: Hangyaku no Lelouch I - Koudou,7.88,Movie,96834,1
770a,Detective Conan Movie 02: The Fourteenth Target,7.88,Movie,61585,1
771a,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,7.88,Movie,37739,1
772a,Hoozuki no Reitetsu 2nd Season,7.88,TV,45621,13
773a,Jigoku Shoujo Futakomori,7.88,TV,157759,26
774a,Kami nomi zo Shiru Sekai II,7.88,TV,381737,12
775a,Les Misérables: Shoujo Cosette,7.88,TV,28227,52
776a,Megalo Box,7.88,TV,491115,13
777a,One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,7.88,Special,38089,1
778a,Ookiku Furikabutte,7.88,TV,98268,25
779a,Quanzhi Gaoshou,7.88,ONA,358019,12
780a,Shijou Saikyou no Deshi Kenichi OVA,7.88,OVA,55930,11
781a,Space☆Dandy,7.88,TV,343202,13
782a,Kidou Senshi Gundam: Suisei no Majo - Prologue,7.87,Special,37992,1
783a,Mahou Shoujo Lyrical Nanoha: The Movie 1st,7.87,Movie,30558,1
784a,Mo Dao Zu Shi Q,7.87,ONA,22603,30
785a,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,7.87,OVA,164487,1
786a,Osomatsu-san Movie,7.87,Movie,14534,1
787a,Sekaiichi Hatsukoi OVA,7.87,OVA,69547,2
788a,Shingeki no Kyojin OVA,7.87,OVA,443971,3
789a,Summer Ghost,7.87,Movie,86071,1
790a,Top wo Nerae! Gunbuster,7.87,OVA,121551,6
791a,Wan Sheng Jie,7.87,ONA,23403,12
792a,Zan Sayonara Zetsubou Sensei,7.87,TV,104829,13
793a,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,7.87,Movie,204220,1
794a,Carnival Phantasm,7.87,OVA,192042,12
795a,Carole & Tuesday,7.87,TV,316465,24
796a,Cool Doji Danshi,7.87,TV,77600,24
797a,Dance Dance Danseur,7.87,TV,78166,11
798a,Detective Conan Movie 26: Kurogane no Submarine,7.87,Movie,6526,1
799a,Golden Kamuy,7.87,TV,364720,12
800a,Beelzebub,7.86,TV,579898,60
801a,Heartcatch Precure!,7.86,TV,30644,49
802a,High☆Speed! Movie: Free! Starting Days,7.86,Movie,90302,1
803a,InuYasha,7.86,TV,768135,167
804a,Lupin III vs. Detective Conan: The Movie,7.86,Movie,31082,1
805a,Lupin the IIIrd: Chikemuri no Ishikawa Goemon,7.86,Movie,38151,1
806a,Machikado Mazoku: 2-choume,7.86,TV,62938,12
807a,Magic Kaito 1412,7.86,TV,120051,24
808a,Musekinin Kanchou Tylor,7.86,TV,47531,26
809a,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,7.86,Special,88244,1
810a,One Piece Film: Red,7.86,Movie,135287,1
811a,Sayonara Zetsubou Sensei,7.86,TV,336433,12
812a,Seitokai Yakuindomo* OVA,7.86,OVA,77235,10
813a,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,7.86,Movie,64890,1
814a,Tennis no Ouji-sama,7.86,TV,178778,178
815a,Uma Musume: Pretty Derby - Road to the Top,7.86,ONA,8847,4
816a,Yamada-kun to Lv999 no Koi wo Suru,7.86,TV,280908,13
817a,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,7.86,TV,1160588,12
818a,Tiger & Bunny,7.85,TV,222169,25
819a,Tomo-chan wa Onnanoko!,7.85,TV,318052,13
820a,Wan Sheng Jie 2,7.85,ONA,10884,12
821a,Yuru Yuri Nachuyachumi!,7.85,OVA,71768,1
822a,Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,7.85,Movie,9510,1
823a,Detective Conan Movie 01: The Timed Skyscraper,7.85,Movie,69212,1
824a,Detective Conan Movie 22: Zero the Enforcer,7.85,Movie,28890,1
825a,Detective Conan Movie 23: The Fist of Blue Sapphire,7.85,Movie,27439,1
826a,Douluo Dalu,7.85,ONA,26885,26
827a,Durarara!! Specials,7.85,Special,165430,2
828a,Hoozuki no Reitetsu 2nd Season: Sono Ni,7.85,TV,27935,13
829a,Hoozuki no Reitetsu OVA,7.85,OVA,16971,4
830a,Hug tto! Precure,7.85,TV,15632,49
831a,K-On!,7.85,TV,1018142,13
832a,K-On!!: Keikaku!,7.85,Special,122293,1
833a,New Initial D Movie: Legend 3 - Mugen,7.85,Movie,25885,1
834a,Non Non Biyori Repeat: Hotaru ga Tanoshinda,7.85,OVA,47683,1
835a,Noragami Aragoto OVA,7.85,OVA,252655,2
836a,Paradise Kiss,7.85,TV,215212,12
837a,Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,7.85,Movie,122009,1
838a,Kono Subarashii Sekai ni Shukufuku wo! Kono Subarashii Choker ni Shukufuku wo!,7.84,OVA,387474,1
839a,Magi: Sinbad no Bouken (TV),7.84,TV,465305,13
840a,Michiko to Hatchin,7.84,TV,194108,22
