rank,title,rating,age_rating,run_time,year_range,votes
126c,Beastars,7.7,TV-MA,23 min,(2019– ),11285
127c,Evangelion: 3.0+1.01 Thrice Upon a Time,8.0,TV-MA,154 min,(2021),12361
128c,Deadman Wonderland,7.1,TV-MA,24 min,(2011),11377
129c,"Don't Toy with Me, Miss Nagatoro",7.2,TV-14,24 min,(2021– ),4203
130c,Ergo Proxy,7.9,TV-14,25 min,(2006),15308
131c,Tomo-chan Is a Girl!,7.6,TV-14,23 min,(2023),1591
132c,Angel's Egg,7.6,Not Rated,71 min,(1985 Video),10823
133c,Wolf Children,8.1,PG,117 min,(2012),47187
134c,Berserk: The Golden Age Arc I - The Egg of the King,7.5,TV-MA,76 min,(2012),13534
135c,Heaven Official's Blessing,8.2,TV-14,,(2020– ),1985
136c,Golden Boy,8.0,Not Rated,165 min,(1995–1996),6440
137c,Gantz: O,7.1,,95 min,(2016),15951
138c,Noragami,7.9,TV-14,24 min,(2014–2015),17404
139c,The Quintessential Quintuplets,7.7,TV-PG,24 min,(2019–2021),6029
140c,The Daily Life of the Immortal King,7.2,TV-14,18 min,(2020– ),1963
141c,Cowboy Bebop: The Movie,7.8,TV-14,115 min,(2001),50878
142c,Final Fantasy VII: Advent Children,7.2,PG-13,101 min,(2005),57292
143c,Ghost in the Shell: Stand Alone Complex,8.5,TV-MA,24 min,(2002–2005),20334
144c,Summoned to Another World for a Second Time,5.5,,,(2023– ),237
145c,Pom Poko,7.3,PG,119 min,(1994),32154
146c,Bubble,6.3,TV-PG,100 min,(2022),6977
147c,The Animatrix,7.3,Unrated,100 min,(2003 Video),80410
148c,Tokyo Godfathers,7.8,PG-13,92 min,(2003),43452
149c,The Aristocrat's Otherworldly Adventure: Serving Gods Who Go Too Far,6.5,TV-14,,(2023– ),441
150c,Vampire Hunter D,7.0,Not Rated,80 min,(1985),16638
151c,Drifting Home,6.3,PG,119 min,(2022),3133
152c,The Girl Who Leapt Through Time,7.7,TV-PG,98 min,(2006),68658
153c,FLCL,8.1,TV-14,151 min,(2000–2001),18747
