rank_id,title,show_type,rating,votes,runtime_minutes,episodes
139b,Scrapped Princess,TV,7.96,2854,half,24
140b,Tsubasa: RESERVoir CHRoNiCLE,TV,7.62,2971,25,
141b,Evangelion: 1.0 You Are,movie,8.43,2674,101,
142b,Black Cat,TV,7.49,2983,24,24
143b,His and Her Circumstances,TV,8.00,2788,24,26
144b,Noir,TV,7.58,2929,24,26
145b,Blood: The Last Vampire,movie,6.78,3262,48,
146b,Sailor Moon,TV,6.97,3115,Half,46
147b,D.Gray-man,TV,7.89,2732,half,103
148b,xxxHOLiC,TV,7.92,2717,25,24
149b,Hunter X Hunter,TV,8.56,2498,23,62
150b,ef: a tale of memories,TV,8.54,2496,24,12
151b,Moribito - Guardian of the Spirit,TV,8.48,2511,25,26
152b,Midori Days,TV,7.66,2774,24,13
153b,Planetes,TV,8.55,2451,25,26
154b,School Rumble: 2nd Semester,TV,8.34,2513,24,26
155b,Rosario + Vampire,TV,7.11,2936,25,13
156b,Millennium Actress,movie,8.57,2427,87,
157b,Bamboo Blade,TV,8.21,2531,half,26
158b,,movie,8.18,2542,91,
159b,Appleseed,movie,7.15,2892,107,
160b,Porco Rosso,movie,8.17,2514,93,
161b,Ga-Rei-Zero,TV,8.07,2535,24,12
162b,Love Hina Again,OAV,7.30,2777,30,3
163b,Speed Grapher,TV,7.76,2605,25,24
164b,Kaze no Stigma,TV,7.60,2657,24,24
165b,Looking Up At The Half-Moon,TV,8.53,2369,half,6
166b,A Certain Magical Index,TV,7.24,2783,24,24
167b,Romeo × Juliet,TV,8.44,2375,half,24
168b,Basilisk,TV,7.62,2615,24,24
169b,Blue Exorcist,TV,7.76,2563,half,25
170b,,TV,7.40,2670,24,26
171b,Mobile Suit Gundam 00,TV,8.22,2379,24,25
172b,Black Butler,TV,7.82,2491,half,24
173b,Golden Boy,OAV,7.93,2457,25,6
174b,,OAV,7.14,2722,,9
175b,Another,TV,7.90,2454,half,12
176b,Love Hina X'mas Special - Silent Eve,,7.63,2537,44,
177b,Fairy Tail,TV,7.72,2490,24,175
178b,Spice and Wolf II,TV,8.52,2242,24,12
179b,Ai Yori Aoshi,TV,7.38,2586,half,24
180b,Evangelion: 2.0 You Can,movie,8.75,2173,108,
181b,Full Metal Panic! The Second Raid,OAV,8.00,2368,half,1
182b,,TV,7.76,2443,24,12
183b,S-CRY-ed,TV,7.07,2660,23,26
184b,Strawberry Panic!,TV,8.26,2257,half,26
185b,,movie,7.92,2348,75,
186b,Skip Beat!,TV,8.33,2232,Half,25
187b,Tokyo Godfathers,movie,8.39,2203,92,
188b,Dragon Ball GT,TV,5.48,3372,half,64
189b,Please Twins!,TV,7.26,2524,22,12
190b,Kurenai,TV,8.01,2280,25,12
191b,Karin,TV,7.50,2432,25,24
192b,"Now and Then, Here and There",TV,8.17,2230,Half,13
193b,Kaleido Star,TV,8.63,2110,23,51
194b,Elfen Lied,OAV,7.39,2460,25,1
195b,KenIchi the Mightiest Disciple,TV,8.24,2188,half,50
196b,Oreimo,TV,7.53,2380,24,16
197b,Air Gear,TV,7.54,2373,half,25
198b,NANA,TV,8.52,2097,half,47
199b,Rozen Maiden,TV,7.65,2334,24,12
200b,Fate/Zero,TV,8.24,2167,,13
201b,Naruto the Movie: Ninja Clash in the Land of Snow,,7.02,2537,82,
202b,Honey and Clover II,TV,8.54,2083,25,12
203b,Vandread,TV,7.41,2387,23,13
204b,Darker than Black: Gemini of the Meteor,TV,7.75,2279,24,12
205b,Ranma ½,TV,7.67,2302,Half,161
206b,Destiny of the Shrine Maiden,TV,7.85,2247,half,12
207b,Shakugan no Shana Second,TV,7.88,2235,26,24
208b,Psycho-Pass,TV,8.09,2166,half,22
209b,My Bride is a Mermaid,TV,7.99,2193,24,26
210b,School Days,TV,6.47,2705,25,12
211b,Lovely Complex,TV,8.23,2124,24,24
212b,Love Hina Spring Special - I Wish Your Dream,,7.25,2406,45,
213b,Pokémon,TV,5.57,3122,25,276
214b,Corpse Princess: Aka,TV,7.78,2234,24,13
