rank,title,rating,show_type,episodes,run_time,member_count
315,Hajime no Ippo: Mashiba vs. Kimura,8.23,OVA,1,Sep 2003 - Sep 2003,103618
316,Holo no Graffiti,8.23,ONA,?,May 2019 -,52544
317,Ao Ashi,8.22,TV,24,Apr 2022 - Sep 2022,186404
318,Bungou Stray Dogs 3rd Season,8.22,TV,12,Apr 2019 - Jun 2019,586137
319,Fruits Basket 1st Season,8.22,TV,25,Apr 2019 - Sep 2019,778064
320,Kono Sekai no Katasumi ni,8.22,Movie,1,Nov 2016 - Nov 2016,179817
321,Kotarou wa Hitorigurashi,8.22,ONA,10,Mar 2022 - Mar 2022,133283
322,Kuroko no Basket 2nd Season,8.22,TV,25,Oct 2013 - Mar 2014,823407
323,Magi: The Kingdom of Magic,8.22,TV,25,Oct 2013 - Mar 2014,816760
324,Majo no Takkyuubin,8.22,Movie,1,Jul 1989 - Jul 1989,550684
325,Major S1,8.22,TV,26,Nov 2004 - May 2005,98515
326,Mimi wo Sumaseba,8.22,Movie,1,Jul 1995 - Jul 1995,339967
327,One Piece Movie 14: Stampede,8.22,Movie,1,Aug 2019 - Aug 2019,172650
328,Ookami to Koushinryou,8.22,TV,13,Jan 2008 - Mar 2008,789136
329,Trigun,8.22,TV,26,Apr 1998 - Sep 1998,730165
330,Tanoshii Muumin Ikka,8.21,TV,78,Apr 1990 - Oct 1991,25703
331,xxxHOLiC◆Kei,8.21,TV,13,Apr 2008 - Jun 2008,139038
332,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.21,TV,13,Apr 2015 - Jun 2015,1020485
333,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.21,Movie,1,Jul 2000 - Jul 2000,112289
334,Detective Conan Movie 13: The Raven Chaser,8.21,Movie,1,Apr 2009 - Apr 2009,57440
335,IDOLiSH7 Third Beat!,8.21,TV,13,Jul 2021 - Sep 2021,20421
336,Kamisama Hajimemashita◎,8.21,TV,12,Jan 2015 - Mar 2015,386063
337,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,8.21,Movie,1,Oct 2012 - Oct 2012,193001
338,SKET Dance,8.21,TV,77,Apr 2011 - Sep 2012,219992
339,Lycoris Recoil,8.20,TV,13,Jul 2022 - Sep 2022,428203
340,Nomad: Megalo Box 2,8.20,TV,13,Apr 2021 - Jun 2021,191452
341,ReLIFE: Kanketsu-hen,8.20,Special,4,Mar 2018 - Mar 2018,372534
342,Saiki Kusuo no Ψ-nan: Kanketsu-hen,8.20,Special,1,Dec 2018 - Dec 2018,207253
343,Shoujo Kakumei Utena,8.20,TV,39,Apr 1997 - Dec 1997,208665
344,Shoujo Shuumatsu Ryokou,8.20,TV,12,Oct 2017 - Dec 2017,323656
345,Vanitas no Karte Part 2,8.20,TV,12,Jan 2022 - Apr 2022,251226
346,Berserk: Ougon Jidai-hen III - Kourin,8.20,Movie,1,Feb 2013 - Feb 2013,215004
347,Hachimitsu to Clover II,8.20,TV,12,Jun 2006 - Sep 2006,104515
348,Haikyuu!! Movie 4: Concept no Tatakai,8.20,Movie,1,Sep 2017 - Sep 2017,78336
349,Horimiya,8.20,TV,13,Jan 2021 - Apr 2021,1256593
350,InuYasha: Kanketsu-hen,8.20,TV,26,Oct 2009 - Mar 2010,273116
351,Kaguya-hime no Monogatari,8.20,Movie,1,Nov 2013 - Nov 2013,217545
352,Asobi Asobase,8.19,TV,12,Jul 2018 - Sep 2018,452663
